,%dark,%relaxedcalm,%goodvibes,%melancholia
Under 18,,,,
18-24,0.1111111111111111,0.0,0.2222222222222222,0.25
25-34,0.2833333333333333,0.3611111111111111,0.27777777777777773,0.32539682539682535
Above 34,0.0,0.4583333333333333,1.0,0.75
