,%dark,%relaxedcalm,%goodvibes,%melancholia
Under 18,0.7777777777777778,0.0,0.0,0.0
18-24,0.0,0.2,0.7777777777777778,0.0
25-34,0.13333333333333333,0.06666666666666667,0.5111111111111112,0.3333333333333333
Above 34,0.17777777777777778,0.611111111111111,0.6142857142857143,0.17857142857142858
